repo_names,owner_names,PR_start_time
joomla-cms,joomla,2011-09-27T23:34:55Z
cocos2d-x,cocos2d,2010-11-22T02:33:08Z
django,django,2012-04-28T05:32:22Z
servo,servo,2014-02-07T18:42:10Z
angular.js,angular,2010-09-08T13:59:32Z
scikit-learn,scikit-learn,2010-09-01T11:06:00Z
julia,JuliaLang,2011-11-26T04:43:16Z
terraform,hashicorp,2014-07-28T16:39:25Z
kubernetes,kubernetes,2015-01-06T16:33:10Z
ansible,ansible,2012-03-07T16:02:38Z
salt,saltstack,2011-05-23T16:34:24Z
ceph,ceph,2011-09-22T02:03:44Z
rust,rust-lang,2013-08-05T01:39:46Z
corefx,dotnet,2014-11-12T03:07:05Z
elasticsearch,elastic,2012-07-16T19:22:44Z
rails,rails,2010-09-02T03:34:17Z
symfony,symfony,2010-09-01T16:19:53Z
node,nodejs,2014-11-27T15:39:30Z
