mergedPR,label,sha,owner,group_id,#Churn,#Commits,#FilesChanged,JS_files,MaxJsPrFiles,MeanJsPrFiles,NumOverlapfiles,RateMergedPr,RateOverlapFiles,RateOverlapFilesSelf,RatePrCommits,TimecommitsEntropy,TwoCommit,file_rejected_proportion,last_10_merged,last_10_rejected,last_pr,prNum,pr_1Mon_files_Jaccard_Similarity_Self
0.0,1,['b619e41d8b2066fcab6459cea0f49f6924200a37'],addaleax,344,434.0,1.0,4.0,0.0017346053772766,0.6,0.2745787545787546,4.0,0.0,0.0032025620496397,1.0,32.1875,0.0,0.0,1.0,0.0,10.0,0.0,64.0,1.0
0.0,1,['c84a31db6a4f6986751962ae93862d0cd96093cc'],thekemkid,1514,7.0,1.0,1.0,0.0006123698714023,1.0,0.5666666666666667,1.0,0.0,0.0007117437722419,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0
0.0,1,"['2f6520eb4769aee48cb29b3710673757ad71c452', 'a4ef20a312b7b3f24ddd76291cd34e564302f2ae', 'e156568bc518258ae6887820f747b5b2f4104071']",mhdawson,1108,13.0,3.0,1.0,0.0004071661237785,1.0,0.5166666666666667,1.0,0.0,0.0003976143141153,1.0,8.565217391304348,0.0931168801035914,22.4628,1.0,0.0,10.0,0.0,23.0,1.0
0.0,1,"['43320f9025249f257047a31dbafa711048c1f697', 'a3ef59b8cabb0ef8c2191b569a4d568ad4d9fd89']",antonyt,405,24.0,2.0,1.0,0.001004016064257,1.0,0.4,1.0,0.0,0.0005882352941176,1.0,0.0,-0.0,0.443889,1.0,0.0,10.0,0.0,0.0,1.0
0.0,1,"['ac87744afdb4cbbe79ed083e6f8c0a6c8173e2ad', 'f9529449574a7cca3a091c350a1dcea601d17c9b']",Trott,307,44.0,2.0,1.0,0.0004434589800443,1.0,1.0,1.0,0.0,0.0003513703443429,1.0,56.168,-0.0,22.5872,1.0,4.0,6.0,0.0,125.0,1.0
0.0,1,['f5103f85be168793d32e294d53f552770e11a356'],Trott,307,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0009225092250922,1.0,16.76923076923077,0.0,0.0,1.0,2.0,8.0,0.0,117.0,0.0
0.0,1,['bec03b00b60afe09249f9ad8fefe64bbdc58c058'],crpahl,574,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0006238303181534,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
0.0,1,"['0ea900a994e2c5019a056e6dd8d74e8a5f759a96', '5504368f03be5fa8dd188475dd8abe0ad4ad152e', '7b55ce8b047ba12c13f21c1f813e955997050e7f']",targos,1495,401.0,3.0,20.0,0.0178571428571428,0.1454545454545454,0.0970113139678357,20.0,0.0833333333333333,0.013531799729364,1.0,190.75,0.9936247541404342,3.81444,1.0,0.0,10.0,0.0,12.0,0.8
0.0,1,"['630096bc80f16cfc9602f7cf8d091633928f72c7', '6ae20433c9fec27e638751c321ac9a27690218c2']",bnoordhuis,483,49.0,2.0,3.0,0.0025996533795493,0.3333333333333333,0.3,3.0,0.0816326530612244,0.0024937655860349,1.0,14.612244897959185,-0.0,0.0177778,1.0,0.0,10.0,0.0,49.0,1.0
0.0,1,['13f92387cc42c103609a967f5170680644e1bd21'],dankoster,592,8.0,1.0,1.0,0.0005073566717402,0.25,0.05,1.0,0.0,0.000570125427594,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0
0.0,1,['8fed17bd28836f6c360d5b9d8bd2b14f04e306ca'],rvagg,1340,56.0,1.0,9.0,0.0011890606420927,0.2222222222222222,0.1396825396825396,0.0,0.1,0.0,0.0,2.85,0.0,0.0,0.2222222222222222,1.0,9.0,1.0,20.0,0.2222222222222222
