mergedPR,label,sha,owner,group_id,#Churn,#Commits,#FilesChanged,JS_files,MaxJsPrFiles,MeanJsPrFiles,NumOverlapfiles,RateMergedPr,RateOverlapFiles,RateOverlapFilesSelf,RatePrCommits,TimecommitsEntropy,TwoCommit,file_rejected_proportion,last_10_merged,last_10_rejected,last_pr,prNum,pr_1Mon_files_Jaccard_Similarity_Self
1.0,1,['66136518a7606dd3b5d5c92e3c2bdfea625ff481'],aviks,253,41.0,1.0,4.0,0.1081081081081081,1.0,0.2626262626262626,3.0,1.0,0.0142180094786729,0.75,3.0,0.0,0.0,0.0,7.0,3.0,1.0,2.0,1.0
1.0,1,['a462a03f29b6c897e0233ca426163c328367891b'],nolta,771,71.0,1.0,1.0,0.1666666666666666,1.0,0.2,1.0,1.0,0.0084745762711864,1.0,17.5,0.0,0.0,0.0,10.0,0.0,1.0,2.0,1.0
1.0,1,['5eb000c19da55ce863f1b9c56481a03490e762ae'],carlobaldassi,301,15.0,1.0,1.0,0.0040485829959514,1.0,0.3,1.0,1.0,0.0029585798816568,1.0,7.777777777777778,0.0,0.0,0.0,9.0,1.0,1.0,9.0,1.0
1.0,1,"['5dda7968ec569230506595a789a4ee36645f2776', 'a27d63652337e53e006d986d334e5d60ab8d604c']",stefan-k,947,14.0,2.0,1.0,0.0434782608695652,1.0,0.4,1.0,1.0,0.0060975609756097,1.0,0.5,-0.0,0.0636111,0.0,8.0,2.0,1.0,2.0,1.0
0.0,1,['cd22ed246b4001b004b1d887e7d0ad0e06a9bdc5'],nolta,771,1.0,1.0,1.0,0.0434782608695652,1.0,0.2,0.0,0.6666666666666666,0.0,0.0,8.333333333333334,0.0,0.0,1.0,8.0,2.0,0.0,9.0,1.0
0.0,1,"['52725b44e6a1a960157a80bfff1a0aca08087e27', '796e41ce37471fafc1806af01f439c0649a2327d', '7be8ab087b418338a41caf72bd9bc3709eefe2c1', '8eff94c8b998cf4e0740af869747f3bf3c794cb7', 'bacbe8643974760197231502062d6b9ea3cacf88']",nolta,771,123.0,5.0,2.0,0.2,1.0,0.6,1.0,0.6,0.0083333333333333,0.5,9.6,1.6276988704313873,0.635,1.0,8.0,2.0,0.0,5.0,1.0
0.0,1,"['f5788b984e2150a95f22242a46db7c1b3b4f8623', 'f756aece54d355bbf2bfaa78c35b241fec5197eb']",nolta,771,91.0,2.0,1.0,0.03125,1.0,0.7,1.0,0.6363636363636364,0.0060240963855421,1.0,6.909090909090909,-0.0,0.140556,1.0,7.0,3.0,0.0,11.0,1.0
1.0,1,['b5135e3fc9d9f713b2ee4618a205222f3fdbc4fb'],pao,801,167.0,1.0,2.0,0.0588235294117647,1.0,0.2,1.0,0.9090909090909092,0.0034722222222222,0.5,1.3636363636363635,0.0,0.0,0.0,10.0,0.0,1.0,22.0,1.0
1.0,1,['ba9b550da218dca2000282a1e01ed11cc3673ab5'],nolta,771,33.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0085470085470085,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0
1.0,1,['45aa368f52d860c7a7b40034b99fdc75db855fa3'],timholy,984,11.0,1.0,1.0,0.0135135135135135,1.0,0.3,1.0,0.6875,0.0015503875968992,1.0,2.125,0.0,0.0,0.0,9.0,1.0,1.0,16.0,1.0
1.0,1,['c23fa3f137265f29ab6749807f7a1a4c57c4eddf'],timholy,984,2.0,1.0,1.0,0.0135135135135135,1.0,0.2535714285714285,1.0,0.6666666666666666,0.0033783783783783,1.0,2.2,0.0,0.0,1.0,9.0,1.0,1.0,15.0,1.0
1.0,1,['06a2eaf84c3e4b454059e678308ffe3569cad941'],staticfloat,946,4.0,1.0,1.0,0.0138888888888888,1.0,0.2,1.0,1.0,0.0034843205574912,1.0,0.5,0.0,0.0,0.0,8.0,2.0,1.0,2.0,1.0
1.0,1,['d5e96a3233e76069fd2e8ac66146dfcae38fa88b'],nzmsv,783,4.0,1.0,1.0,0.0833333333333333,1.0,0.2,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,8.0,2.0,1.0,2.0,1.0
1.0,1,['00118c22743c658c5c7f988558eef5db4f095694'],timholy,984,139.0,1.0,2.0,0.027027027027027,1.0,0.2048780487804878,1.0,0.6428571428571429,0.0034129692832764,0.5,2.2857142857142856,0.0,0.0,0.0,9.0,1.0,1.0,14.0,1.0
1.0,1,['42cd4875e9c34bdc0bfec53df72ac52ee292cdf0'],timholy,984,2.0,1.0,1.0,0.0153846153846153,1.0,0.205,1.0,0.6153846153846154,0.0035714285714285,1.0,2.1538461538461537,0.0,0.0,0.0,8.0,2.0,1.0,13.0,1.0
1.0,1,"['79e793361b6365a29fb66191c28f4db0757bd31b', 'ee204404b04fc9257f9b24a6051cd4c05200c042']",nolta,771,34.0,2.0,4.0,0.4444444444444444,1.0,0.25,1.0,1.0,0.0084745762711864,0.25,13.0,-0.0,0.00444444,0.0,10.0,0.0,1.0,3.0,1.0
1.0,1,"['1d759725c254a0ff7c30fcc04607789258c6bcd6', '796e41ce37471fafc1806af01f439c0649a2327d', '7be8ab087b418338a41caf72bd9bc3709eefe2c1', '8eff94c8b998cf4e0740af869747f3bf3c794cb7']",nolta,771,101.0,4.0,2.0,0.2,1.0,0.6,1.0,0.6,0.0083333333333333,0.5,9.6,1.4831352372635604,0.274444,1.0,8.0,2.0,0.0,5.0,1.0
1.0,1,['da0d59986b63a6eb96f0cd91e232d54a9ab4ee79'],peerst,805,4.0,1.0,1.0,0.0476190476190476,1.0,0.425,1.0,1.0,0.0063694267515923,1.0,2.5,0.0,0.0,0.0,10.0,0.0,1.0,2.0,1.0
1.0,1,"['01ec90761ef17d9284c421636ecc85a70b52b703', '84558ae9f06156f0e43469ed85c6186f656f1832']",pao,801,40.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.07139,0.0,8.0,2.0,1.0,0.0,0.0
1.0,1,"['83297849148b6a22dbe4455429679599fa043ad6', 'c88a88c35fe8b5be46d8dfb341910ff493250c77', 'd65e897caa6fd2aefea5768b4e6b106eab7eb6c9']",timholy,984,2116.0,3.0,40.0,0.5633802816901409,1.0,0.2509143395781784,39.0,0.6153846153846154,0.1363636363636363,0.975,2.230769230769231,0.624650940619276,11.2661,0.075,8.0,2.0,1.0,13.0,1.0
0.0,1,['892a03af7094cae433077e59003dbeb86505e645'],yledu,1048,199.0,1.0,6.0,0.1363636363636363,1.0,0.2,1.0,0.0,0.0027397260273972,0.1666666666666666,2.0,0.0,0.0,1.0,8.0,2.0,0.0,1.0,1.0
1.0,1,['2e53a60c8b7fc65184caacbdd69cf957ad9a25af'],pao,801,8.0,1.0,1.0,0.0263157894736842,1.0,0.4,1.0,1.0,0.0047393364928909,1.0,2.5,0.0,0.0,0.0,9.0,1.0,1.0,2.0,1.0
1.0,1,"['795b9e6092f359028ef17755b3f11daf06bc58c0', 'dce2d9b7e0fef7559f55265f40b4e742c7ff25e4']",peerst,805,27.0,2.0,2.0,0.0526315789473684,1.0,0.29,2.0,1.0,0.0094786729857819,1.0,2.0,-0.0,0.146667,0.0,9.0,1.0,1.0,3.0,1.0
1.0,1,"['1bf0d3b41f5d7e9882cdc68f6f82b0b76d4992f2', '41fb44c9aaa9ea3e6093e690a40f7a2787dfc1ca', '57c0812e80a5fc2cd1754585715903e7da4b04df', '961ac1fec27bd2d765a6c970615c72f52697598b', 'e00e5340afac34ea2398b5917c23f4934d5b1907']",peerst,805,94.0,5.0,8.0,0.0952380952380952,0.125,0.05,4.0,0.0,0.0264900662251655,0.5,0.0,0.9234821906395314,2.37917,0.0,9.0,1.0,1.0,0.0,0.25
1.0,1,"['2881b1224e0a468a9a55c1f47bf44bb41b28df11', '2a919d75f2020596586e2555a7e4e7e5563174e4', '3864929a9a6a9bf8936708b279bfae25b0e416ae', '515cb43756ca7436e5dd6ce444590b6a2bd02096', '53449b4b8aa374b7a94cbe445e27441f2aab0913', '80a066f429f0a0f336067a029f1b66fb9424d32f', '8dec786b462327c3528b2dbe14fb86c3f9932b79', '8f4e311f169e9ba0b91f20fcc3a3438aaeeceecd', 'df3a237a4d2dea2dd6ea8aa66d75da852739d69c', 'eba87b3474901f3324c41c0c770d65cf3b58d7da', 'efe9b366ac808199dcb80387fe08c867347922c1']",stefan-k,947,362.0,11.0,12.0,0.09375,0.0833333333333333,0.0633333333333333,12.0,1.0,0.0594059405940594,1.0,2.0,2.3013900479142126,29.5931,0.0833333333333333,8.0,2.0,1.0,2.0,0.25
1.0,1,['f5d409bd666ee990e8ef648d888eaf4058bdae59'],stefan-k,947,61.0,1.0,1.0,0.027027027027027,1.0,0.6166666666666667,1.0,1.0,0.0047393364928909,1.0,4.5,0.0,0.0,0.0,8.0,2.0,1.0,4.0,1.0
1.0,1,"['0cd4d546042507ce8c379918166abf3b7d5f9621', 'e5fcfae58c384da082b36ad0b87e371b0fc76ce2']",dmbates,380,89.0,2.0,3.0,0.0389610389610389,1.0,0.403125,3.0,0.8571428571428571,0.0052173913043478,1.0,4.0,-0.0,0.513056,0.0,9.0,1.0,1.0,7.0,1.0
1.0,1,"['016f487d111cb4145d29f107c2b81f091cf350e4', '667ccaa12a35eeb7b52971a30e86543fd593ed8a']",dmbates,380,79.0,2.0,1.0,0.0129870129870129,1.0,0.2032258064516129,1.0,0.8333333333333334,0.0017452006980802,1.0,4.333333333333333,-0.0,0.0480556,0.0,8.0,2.0,1.0,6.0,1.0
1.0,1,['19fdfaddf5125f8211198dfd17a161a8bf14b9d2'],carlobaldassi,301,2.0,1.0,1.0,0.0040816326530612,1.0,0.2009756097560975,0.0,1.0,0.0,0.0,7.3,0.0,0.0,0.0,9.0,1.0,1.0,10.0,1.0
1.0,1,['89396b504019f8d0de090e8c37de5159526a5deb'],6e441f9c,3,2.0,1.0,1.0,0.0129870129870129,1.0,0.2032258064516129,1.0,0.8,0.0017361111111111,1.0,1.4,0.0,0.0,0.0,9.0,1.0,1.0,5.0,1.0
1.0,1,['918366aa3bd57af1907e9ae336b87483bedd9e88'],carlobaldassi,301,10.0,1.0,3.0,0.0681818181818181,1.0,0.2673913043478261,3.0,1.0,0.0082191780821917,1.0,7.5,0.0,0.0,0.0,8.0,2.0,0.0,12.0,1.0
0.0,1,['56134c1de751c562b259757bd860d76a197e5472'],dcjones,364,11.0,1.0,1.0,0.0043859649122807,1.0,0.2,1.0,0.8571428571428571,0.0025380710659898,1.0,0.1428571428571428,0.0,0.0,1.0,7.0,3.0,1.0,7.0,1.0
1.0,1,"['5432f7291ea52573e4852fb85b50c7f498473149', '709b42f0546c11d6a7abe4aa45e6508aec8b0933']",pao,801,80.0,2.0,1.0,0.0040485829959514,1.0,0.2,1.0,0.8461538461538461,0.0029585798816568,1.0,1.7692307692307692,-0.0,0.298611,0.0,9.0,1.0,1.0,13.0,1.0
1.0,1,"['686956ac1f0745ff982a21162d3c1ab014423252', 'bf6ee1b688177c10ed4390a0cf57e74f5d953a29']",carlobaldassi,301,14.0,2.0,3.0,0.0121951219512195,1.0,0.2029268292682927,2.0,1.0,0.0075471698113207,0.6666666666666666,11.0,-0.0,0.171667,0.0,8.0,2.0,1.0,6.0,1.0
1.0,1,"['2833cd3e4c86d53fe719a3ea08c09f99640e5225', '9c55685670579a95db61829df70cacdd521a7007']",carlobaldassi,301,17.0,2.0,2.0,0.0080971659919028,1.0,0.3,2.0,1.0,0.0059171597633136,1.0,7.555555555555555,-0.0,0.639444,0.0,9.0,1.0,1.0,9.0,1.0
1.0,1,"['504b07ce0b3cf8675fe318ad2b660efecbb37421', 'e16330c972426adb0ce880faa288a705b2377147', 'ecbd43753846d3f8950d8887a519c648cc955b97', 'ee2df20a3a456236f4d12cfda092ed224cfefe5d']",carlobaldassi,301,259.0,4.0,2.0,0.0087719298245614,0.0097560975609756,0.0019512195121951,0.0,1.0,0.0,0.0,38.0,0.4502927626932513,28.8217,0.0,10.0,0.0,1.0,1.0,1.0
1.0,1,"['10cb71b59ce663e403f68c87808b490f138da3df', '568570e1bf33914d434fd7e1847413bef7df45ab', '7142760674eb86bb427a2154281b55718ec89f48']",carlobaldassi,301,70.0,3.0,3.0,0.0131004366812227,0.6666666666666666,0.136260162601626,3.0,1.0,0.0151515151515151,1.0,21.5,0.3243355526270246,8.06333,0.0,9.0,1.0,1.0,2.0,1.0
0.0,1,['1436e34de6811f1a7215203d5ddc18b5c8b5f4d9'],nolta,771,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,4.875,0.0,0.0,0.0,10.0,0.0,1.0,16.0,0.0
0.0,1,['b0e6fdae37a5152605d792eef23d43f1945b3326'],pao,801,1.0,1.0,1.0,0.0043859649122807,0.0048780487804878,0.0009756097560975,1.0,1.0,0.0054054054054054,1.0,1.2222222222222223,0.0,0.0,0.0,10.0,0.0,1.0,9.0,1.0
1.0,1,['0253bdb27a7d38ee2bebb0e1aede8d5fa5848f7e'],pao,801,6.0,1.0,1.0,0.0043859649122807,1.0,0.2,1.0,0.875,0.0040322580645161,1.0,1.6875,0.0,0.0,0.0,9.0,1.0,1.0,16.0,1.0
0.0,1,['00b198f27001d1a8af52b565b818157ecbbbb23d'],pao,801,5.0,1.0,1.0,0.0043668122270742,1.0,0.2009756097560975,0.0,0.8181818181818182,0.0,0.0,1.6363636363636365,0.0,0.0,1.0,8.0,2.0,0.0,11.0,1.0
0.0,1,['b958d394e31b655d975e775f99a96f0ae48590eb'],HarlanH,60,24.0,1.0,4.0,0.074074074074074,1.0,0.2,3.0,0.8,0.0082417582417582,0.75,8.0,0.0,0.0,1.0,7.0,3.0,1.0,5.0,1.0
1.0,1,"['a45018afb49bda0e5bccde532459b3c2f8f32ef7', 'fe663bc59915d94866de9119b9fc6b78d6d57e9b']",6e441f9c,3,31.0,2.0,1.0,0.027027027027027,1.0,0.2,1.0,0.6666666666666666,0.0035460992907801,1.0,1.0,-0.0,8.48056,0.0,9.0,1.0,1.0,3.0,1.0
1.0,1,"['022d9242d2d3e8f2c9705fc935fb1b84c819b6b1', 'ddae6827f079063643a695304501aa2ff9ba3075', 'f30b443e6bdedddd9d7f1fa1ad28d150237a4daf']",carlobaldassi,301,1507.0,3.0,10.0,0.056338028169014,0.1666666666666666,0.0632246376811594,6.0,1.0,0.0208333333333333,0.6,6.3125,0.7303757404049289,57.1631,0.1,9.0,1.0,1.0,16.0,0.4
1.0,1,"['09b7d7eb44eb84e0238ee09b17e3ee42df267659', '36545e6cbf42ae3e9972b3bea80189c1d49d2355', '846a42eae8d2e7c5a8f8cb6177729ef959cdf684', '8c6d240b89b50bde222291b63b9bc258b7690d3b', 'bc30dfc9d8b9d97d7a1781ce246d6405c9fe6e6e', 'e9da17adbc84b4d664444795eebcf9b575700d94']",carlobaldassi,301,480.0,6.0,1.0,0.0178571428571428,1.0,0.2,1.0,1.0,0.0035587188612099,1.0,5.8125,0.5059462560884833,91.1603,0.0,8.0,2.0,1.0,16.0,1.0
0.0,1,"['28813bb1e2a88cda133b6b65ee229846d41718a7', '5af7d58ac465668f7359738f6e3d7b439d13755e', '81a3d8cf1207b7b610983ae71567ad4f7fdbc97f', '8957f2f119b6e51bc7b32a64c8df58d34b1beed0', 'abaebf542c6f84d42da90eb76fbdf70c3dc92b19', 'ae594b419cbada1f6f976902d5aae76e1a36334c', 'c29dfee1f59370f6c7e01cd3193de1650a30dcf1', 'e3427d05571c8028e48a64df70c660dded3b3542']",aviks,253,847.0,8.0,7.0,0.1372549019607843,1.0,0.2348148148148148,1.0,0.75,0.0017452006980802,0.1428571428571428,2.75,1.2731030611094716,1092.52,1.0,8.0,2.0,0.0,4.0,1.0
1.0,1,['f8364ef7fcc7d6d2b30bbadf643e4a3506d060ba'],6e441f9c,3,4.0,1.0,1.0,0.0135135135135135,1.0,0.2,1.0,0.75,0.0018450184501845,1.0,1.25,0.0,0.0,0.0,9.0,1.0,1.0,4.0,1.0
1.0,1,['d1e760e8ecab0504db671638884476dd20c15cd0'],dmbates,380,255.0,1.0,2.0,0.0259740259740259,1.0,0.2,1.0,0.8,0.0016750418760469,0.5,5.0,0.0,0.0,0.0,8.0,2.0,1.0,5.0,1.0
1.0,1,['6d17ababf7e0e4b110d0b803c4aacbf8959a0d5c'],kmsquire,613,39.0,1.0,2.0,0.0273972602739726,1.0,0.2,2.0,0.5,0.003690036900369,1.0,1.5,0.0,0.0,0.0,9.0,1.0,1.0,2.0,1.0
1.0,1,['7ad5dc23b43751837db9007dd06e00db1603845b'],mlubin,723,28.0,1.0,1.0,0.008695652173913,1.0,0.2032258064516129,1.0,1.0,0.0018281535648994,1.0,0.5,0.0,0.0,0.0,9.0,1.0,1.0,2.0,1.0
1.0,1,['b4554bdc7f852e945d014694905343940b4e6289'],mlubin,723,25.0,1.0,1.0,0.0129870129870129,1.0,0.2032258064516129,1.0,1.0,0.0017035775127768,1.0,1.3333333333333333,0.0,0.0,0.0,9.0,1.0,1.0,3.0,1.0
1.0,1,['8dac5c74e4f680ce8400d84cb6fffff1e3e786cb'],mlubin,723,14.0,1.0,1.0,0.0129870129870129,1.0,0.4032258064516129,1.0,1.0,0.0017035775127768,1.0,1.75,0.0,0.0,0.0,9.0,1.0,1.0,4.0,1.0
1.0,1,['4158d615e3ced3813c0402272f8384047aa17acb'],pao,801,28.0,1.0,2.0,0.0266666666666666,1.0,0.21,2.0,0.9130434782608696,0.0038022813688212,1.0,1.3478260869565215,0.0,0.0,0.0,9.0,1.0,1.0,23.0,1.0
1.0,1,['7d757a3c1ddc057ded28a8d4e1ef961600033671'],staticfloat,946,4.0,1.0,2.0,0.0259740259740259,1.0,0.3031746031746031,2.0,1.0,0.0034071550255536,1.0,2.0,0.0,0.0,0.0,9.0,1.0,1.0,4.0,1.0
1.0,1,['6592f2fa497e4cac8546b50c830be38069976803'],staticfloat,946,2.0,1.0,1.0,0.0129870129870129,1.0,0.6,1.0,0.8333333333333334,0.0017035775127768,1.0,1.5,0.0,0.0,1.0,8.0,2.0,1.0,6.0,1.0
0.0,1,"['2cc120dc27c882689611c40aec3d7cd8058e8e74', '6592f2fa497e4cac8546b50c830be38069976803']",staticfloat,946,8.0,2.0,2.0,0.0259740259740259,1.0,0.6031746031746031,2.0,0.8333333333333334,0.0034071550255536,1.0,1.5,-0.0,0.0486111,1.0,8.0,2.0,1.0,6.0,1.0
1.0,1,"['4bb0d7823b6ed1fbb7e6c326c59bfd3351719b96', '59f0657b17b2489605be8555e8523116c1e22154', '83d1c4b30ce67d6e46ed3f43effc394dc9f42a9a', '867d91c2c49b4e1b25af264aab146929cbe5d60b', '909635aa2437af4e8c7b48781eb0cefe1285f9df', 'd51970941293918abfb948fbd3762a5c7953c171']",tautologico,968,475.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3391185436517112,40.1281,0.0,9.0,1.0,0.0,0.0,0.0
1.0,1,['a8506e367a1b012569cf4a45bb8cb0a49521a477'],dslate,395,4.0,1.0,1.0,0.0526315789473684,1.0,0.2,1.0,1.0,0.0042016806722689,1.0,0.6,0.0,0.0,0.0,9.0,1.0,1.0,5.0,1.0
1.0,1,['64e87200a9340ac3a68ada669423704f0a03a776'],dslate,395,2.0,1.0,1.0,0.0526315789473684,1.0,0.2,1.0,1.0,0.0042016806722689,1.0,0.4,0.0,0.0,0.0,9.0,1.0,1.0,5.0,1.0
0.0,1,"['7c79f677defeaaea01b0102a309aace31002b9eb', '9847646f779f55ea907cd85410326f93c400b9f9', 'efdc691953e732a6360643f49eaca450e5341f25']",maleadt,667,14.0,3.0,3.0,0.1764705882352941,1.0,0.3333333333333333,3.0,0.0,0.0122950819672131,1.0,2.0,0.9977144353011568,0.858889,1.0,7.0,3.0,0.0,1.0,1.0
