predict_flag,true_flag,predicted_flag
['35422616c39f25496ac6362c9323c16a7ce3ab99'],0.0,0.0
"['2a2edb16ddc3899e724d66b9089f17b3758fbc75', 'b6206696dc7cf542e514e89e1a1360bcc189c19f', 'dc39fb95c98f81f50831c2ad7bb98a5527bfca02']",-1.0,0.0
['5aae71395f3d0f4662e159aca24d0eff0920ffe9'],0.0,0.0
['ce376f26a8b60b7ab17190e16d9f9df0af35e2f4'],-1.0,0.0
['e611ef61d9ce5810b47be7d89eee011393d3ae12'],-1.0,0.0
['bce45c05c8252de114121cf385710f6a9c6dda34'],0.0,0.0
['5192e973be316dcc66d3330fcbe2e9a1c054afe3'],0.0,0.0
['157d783d1afa834f4daedb86f3e46866202f276e'],-1.0,0.0
['2386b0a55fdedb1fc1b23df418ff71ebbb0274c3'],-1.0,0.0
['4179f62cc270b9614075095e1e4931736cff30a7'],-1.0,0.0
['e49715cba3d8f6db4c824f74fa6a289077003287'],-1.0,0.0
['f4c6b2c7894cb2d82ac69a1500a27785360b81c3'],-1.0,0.0
['34a9a3d3472403fd2c874cea33791d9b0c829519'],0.0,0.0
['5bd32b4c9134f39da5c36b6e028c31bc6cdf7107'],0.0,0.0
['ebcb27f7b6a96da171df31df00d90d7bcb06cc52'],0.0,0.0
['63102fcb62662d7f859e0a0ac3d0234e45ff952d'],-1.0,0.0
['02218e8e36f21ef4062344dd63ce7e289cf5237f'],0.0,0.0
['46359502245b00917102eb553473f6fc98c5d658'],0.0,0.0
['0eb9be6a92d3f98cc070092ebb5b1765b566cd33'],0.0,0.0
['729b5765a0ab4881ce325c52193924c962ff4cd0'],0.0,0.0
"['1dd907a0bc645348faf6a08516e3388d8408e848', '2bbfcc6fcd1be6df51cfb5897b8154a61779ef39', '35f03089cdfc40c8fb204b0efce21dcf59cb337b', '6938b3b7c66b8959c10a227cd7499e2916027c5b', 'b4c37fe8ab886e31351dff9fd9cffaa7c15a04cb']",-1.0,
['bfab49664eb9c10d78ebf1689ef4f6a3cca6f8b9'],0.0,0.0
['43d07459c61cf4b9ee4807a445fb8b0f0af071fe'],0.0,0.0
['63150d8082d2b51f2ab4d51b56266e5dbb60a476'],1.0,0.0
"['7be1f64d85cbce9cbb1a1ffc450ef7e8a50761b1', 'a9f84640bb30380956da60db2ffd046107d08cea', 'db19c0c042fcb918dfe76cd92a0af7e145cca842']",-1.0,0.0
['60509f558952d5f2c668b79b9f249cf5d287b67b'],-1.0,0.0
['11f36e2a61d0b2b40a4ed95e16f0f0df2ac3a36d'],-1.0,0.0
"['1bc541a57bbe77e542d7093164e6c266aaafca94', '796908189feedc649e9eb94846be10400ceffe5f', '8efadf876533178703b7c75372aa580a0903a8c2', 'a4ed23c3c1651e503fb2556c44af4c0d6dc07e71']",0.0,0.0
['92cad096d1fdefbaa1bf48f1f194bd198bbadec1'],-1.0,0.0
['45afae7212c08dbbd4ee43fe86426229cb02802c'],0.0,0.0
['e9099cb50b91fae325d519112f81042a85d123d4'],0.0,0.0
"['1785502465462e1021539dd41326d1681423d86c', '51dde302b249426a0553139d355bf1fe25a0cca0']",-1.0,0.0
['2831f0bd145ee672ca0a0f5e16b0cb2916925f7b'],0.0,0.0
['570b0bf1228e42bf76ba4ad92a58e68540ae1616'],0.0,0.0
['8b92549935ce114efdb20c86cda57784782555ab'],0.0,0.0
['60cca7b178bcd54b6970ad20e94e89f33f1422c4'],-1.0,0.0
['e8e4477c67e8865406625b1852ed070417cb7a29'],-1.0,0.0
['f70e9fa03cd3b4a37d3ee9cebb0bcffd2858302c'],-1.0,0.0
['116dbb567915a23728e04826bcc8337983972756'],-1.0,0.0
['2a1337225a8d03dc3d1f3322d11fbbdcfeb7ae4a'],-1.0,0.0
['8404f87523f8ff22f0d1376d0725bd117287cfab'],-1.0,0.0
['c45d9854abf3e935faef82a2b1b18cf9aa3361a1'],-1.0,0.0
['0026d5432c43217677800ab70910c4c6814da714'],-1.0,0.0
['fcebbbc07cbff2901d4810deb5b47afc5083ac80'],-1.0,0.0
['0cf5c6e7baeb45b37033be42b35719437dd77781'],-1.0,0.0
['86a18d25166e54dc55b9784f9092650a295e80e0'],-1.0,0.0
['f9e8f0cae44c954ac2b5fadf198b6a19456ee946'],-1.0,0.0
"['6e5db2a67c1809f54536ff22fa2c3bf72a22cb35', '734394f8f372fd0219ce19154c07a8a0d5b08ca2']",-1.0,0.0
['010ff8d4016b1a16823df7f304e8c17794fb479c'],0.0,0.0
['0748f6368ed6cb8afad9a035d3ddf36b05bf560f'],0.0,0.0
['507fdc26fe3e39a4000f0582c645f1275cd6718c'],0.0,0.0
"['7a5f3b847103036844344f56d86cc02e3223c322', 'e27b41b821d637a32cef4ee779c083a1d26c15d0']",1.0,0.0
"['4422cc988032115710efe3beee871adb147ebf8e', '8c616aabbeaa15587d0096d2d3296947b6bf2d23', 'a142fb76e64171604ea4348c576aae7e12b39efc']",-1.0,0.0
['01248933d34d00ed8924d90f923a97ecd95556b3'],-1.0,0.0
['167a160926e6ea5af82d11ada55ff727d268add1'],-1.0,0.0
['b4f600f67c918e45b4a16ef08e048c917180bfe2'],0.0,0.0
['334c829478479c5e4a4401ddd13f1880178c0711'],-1.0,0.0
['4297b51290761b006b6215f681dcdc74fa9fd17e'],-1.0,0.0
['7dcebdeb0673f61401a3efe36ecc6705abd11908'],-1.0,0.0
['1502065a42422a97993a0e2c797635021136eb42'],0.0,0.0
['c4349c5fc7301b83c9de52ab118bad4b2708c0e1'],0.0,0.0
['d4a000e77ec9595684654d2a14905f2ba932341a'],0.0,0.0
['73e94e0299c5502be7f5589a5f99b157e639ce23'],0.0,0.0
['35c4a553e8589dcfbafc76fc45e67d67eada5267'],-1.0,0.0
['04b3e9d1accedc12dc653751a4c71168e578c091'],0.0,0.0
['945e714ea71df725f762878a3e3c130f07ee6eac'],0.0,0.0
['1b00fe2b296f0fa45f68d0bd51f5bbc626bafba0'],0.0,0.0
['3eec406cdbb049c24ffd9e4de34d757ffbfdacbf'],-1.0,0.0
['75375a8f0fc941478bfb9cdcbdcb4e165b8b4324'],-1.0,0.0
['abfeb13ce55eac0912105f8c52ddf5f016dcb417'],0.0,0.0
['a9a88fa7727cfd26e2794b5d365ab417425d905e'],0.0,0.0
['879309f1a8c7d7c07d9bcaf0954faa8a2e4548ad'],-1.0,0.0
['f134969c1c5995c05637e9bb711cc7ea7a1c4661'],-1.0,0.0
"['bc09c31c428d3138bbe1d058df73fb1cc1d479cc', 'bc09c31c428d3138bbe1d058df73fb1cc1d479cc']",0.0,0.0
['b06176d3705c7779e720b2b314cd278fb9872915'],-1.0,0.0
['b231e8e63c0762eab07d1dd3b95259f7016bb61f'],0.0,0.0
['572b1c8a383be262a4c81a313d7cd0b01d2a7102'],-1.0,0.0
['c15a6b784b413a8117c19395524cf6a7da22579a'],0.0,0.0
"['3ba29ce3fceb7eb87570f1b4c7474ae1be149c88', '706cc10e24177e9b9fae87862aa8bd4d4fad310b']",-1.0,0.0
"['b3465635e38eeb3614f0ecc9384685da505f4e15', 'ba0db2a375bbe63bcf879e419d35f8f558115916', 'c2f223d4cc83dcf822602bf34b1315f2ef50fb80']",-1.0,0.0
['3615ed1baf892a3a4e388d635506f9c30d796cca'],-1.0,0.0
['3ac12272ac59dcbe9334e23c4be289585b93f45c'],-1.0,0.0
