predict_flag,true_flag,predicted_flag
['b0d1dd2435f4625530d1bbfd023144c1a23e3916'],0.0,0.0
['e488243783e74229578785580718c5e8ec841fc0'],0.0,0.0
['07c5e528e7c5806729eaca2c0d692147a29ced4e'],1.0,0.0
['9edfa5bb2994174354629363cf88e5931f2e92fa'],0.0,0.0
['3fe8c779e50774bace0fedb7a4fd9a006c3a278c'],0.0,0.0
"['1b875cb3536ddf46bf23a5dd08cad4928d560b2d', '83db28ac9eee6c07f786c944e2bfee6c583e14cb']",0.0,1.0
['59fab25804d0bd655f633949e1724b0d488a6637'],0.0,0.0
['21090f1f4c74680e72200a23ae66f8e49c032006'],0.0,0.0
['c04746be8d73fa2036f7359e69086c2aa9f073db'],0.0,0.0
['0711ebc099870d3b5523ea67677b3178d3d7dfe5'],0.0,1.0
['5e37e59807334e0b5a3fb9f82b03f8e95a078969'],0.0,0.0
['2fb9fb9c8f6910de35a8a50ab97046192c6e9cc5'],1.0,0.0
['e6d8b7fbab080d1c248564f53d6e0a41cbcb0e58'],-1.0,0.0
['390b1a342eb77e1c5612774401bcfcbd6b9a20e4'],-1.0,0.0
['c22aff75e1d73be148e8fc2e2c4fbc5678ee8bf7'],-1.0,
['0705f415a969e0be4a96efe2835010dd7527da30'],-1.0,
"['2a62e99ab1e42c8fb75cb3fc1b22390b3e2e4b27', '2a62e99ab1e42c8fb75cb3fc1b22390b3e2e4b27', '4d5b786f614ccc85accb49cbb7e589bf827aef90']",-1.0,
['74af387fa60a1b0e8b5e2ae40341bf14f508d17b'],-1.0,
['8edfdbb0c6e197046a6a9eea3fb8dda3de805c6f'],-1.0,0.0
['928ebda479f57103c3fa6a5a9b72cc2413c9079c'],0.0,0.0
['912bbea3f35ad943a4d6052c5d6ebb43f7e836e1'],0.0,1.0
['2b5b7a6d348bedb5003908a0472f05e533225d52'],1.0,0.0
['961220df2b339657398790e283c63d7f61f76a8f'],-1.0,0.0
['8cc5e66e73339336bd40c136c30615893b718a3a'],0.0,0.0
['1d0deb0bc1b87198db0cd92885f28e8c21b7a273'],0.0,0.0
['b57f47d83e7d51eb96a48b28b63bbc0eae7fe382'],1.0,1.0
['e592a1a02de4b5ef0f5e920198353e986dc81339'],1.0,0.0
['8029439c575c8ccc66244ca80d0d795a56f83c44'],0.0,0.0
['b44bc820dce2810d4520c18282bb9b56d922be13'],1.0,1.0
['9d9945d2427922cec922cbe5b27878e96db1110a'],1.0,0.0
['5c669d8d2ac1b92271fee8c8dc0bfd5bf92ae838'],-1.0,0.0
['5b0246098990969959a3b5899b0277bd5d689845'],1.0,0.0
['c6ddd498e3632653119ec7f731dc36af64be2a68'],1.0,0.0
['31871bba4a5cf135426016c3859994d01c6fd1e8'],0.0,0.0
['00d0598a468105df4d9bfadfbf8f0b08c659a56b'],-1.0,0.0
"['c07d260edb630e97f299c97f9bf6729101112b1a', 'c33cd9d430c5e3bd451f6879c1bfdbee3cd8261f', 'e934bb1c8510dbc370a9c4940e39f58e37d6a3ed', 'f6a1ee6fea8f995abede22c3706b6c17a814e787', 'fde0b4ba34ab30406b9dafb696bc8e22ae0e808b']",1.0,0.0
['07e05ef216121e679b783649d9980d8834972322'],0.0,0.0
['f8c94b7b58b9b620c9dbef5e5034c7cf279e8368'],0.0,1.0
['58ed5609c7310341a50120610be016e1473a80df'],0.0,
['6582374c928596e2aa1bde735c30fc27908cb073'],1.0,
"['037c70323eef4f90aca52bc980e1bf39e5aff090', 'fa73ce0f9c2e95abe711af7486c34eea4e31d269']",1.0,
['411d34f032db22cecbafafee2df892588b9b2ecc'],1.0,
['1e1193ce262a27c6ea7bd0f5abc89d28f0a19664'],1.0,0.0
['e72534d29e02fe36d6a152454e4250e395bcba0f'],0.0,0.0
['578f114d18e989fbeebe1b6751a80f400ae454b1'],0.0,0.0
['08ef8f2825d7daf3984b2e587d9b049eae8788d0'],0.0,0.0
['b8f22e7d4bd9bc2d01b3675b94c1c72082019023'],0.0,0.0
['cf38b1fbfdc5005740e6d0ca3b56c049fb186900'],0.0,0.0
['79b9a191d0ea26b96c61df65de5a06acea780828'],1.0,0.0
['1e77a81c07c6bdc55894e9e1cf3c2d81624a6360'],-1.0,0.0
['79193cd7e6a2250a89d346442ab0348e038a151d'],-1.0,0.0
"['10c653e64b7589e42d4970b534e1f5cdb2849df3', '16a18a9363ae24307a69959dab04255cf3ea3fa0', '8fdb1892e731ddbe5581bbb8f110a788eb5acfc3', 'b16a84648ba7499087b9955b45449255dcf7ef79', 'e804e2f8f652bf8804d140a56ec5413c43aa3d05']",0.0,0.0
['bd7155ed624281c8c356091964af1a038386f5ff'],1.0,1.0
['85c614325f5e582bd0fe9aad16e921fe22d6bd37'],1.0,1.0
['4012575bcd743f4deb412d76bdec97611864c02f'],-1.0,0.0
"['4be74840e0ade008399bbc7466516972e9ebb7a0', '659712c0551e2b241055ee39625303c1a2e75224', 'c320aa2c48f9f7ed3b09f80532f3001acc3b4867', 'ca011125b9f037fe6afcbcdb990af0749887c28e']",0.0,1.0
