predict_flag,true_flag,predicted_flag
['4ea64cdd1096047f8d4e55f86b80f741d75a4085'],0.0,1.0
['3719cd5bb7208c3c57722b57880e621e067f2573'],1.0,1.0
['798a5b9bf4711b4b127627b183f8cc8062b6b8fb'],1.0,1.0
['beff364c239fce937f8c68937fa4b71eafead1eb'],-1.0,0.0
"['3ab44d32f21329f4f60e2ee5147ff57ccd590f64', 'e3986286fccea1f0d99462555f63774302f0402b']",-1.0,1.0
['3acd548349234bd0f532cb9698587fc11ab88111'],1.0,1.0
"['20af2bdc0ba1289bede9dbd976243c0f6e59d5de', '4698577cf000bf7cca393b120b0d29e03f2785b1', '5139b083061846a63a65bcf95fb3f98cda841a6e', '68bbd0e1e8621944cb16eeda43cb870401340155', '8ec1f9913aaedf4ebf473d68dd8fa15a807f03c4']",-1.0,1.0
['70cea86aed26d14c1cb958c8742b9e487ba43faf'],-1.0,1.0
['2505144ab3ea5417ed75489fd347f07ed79fa77d'],0.0,1.0
['11383773bfec629060348a12c464d1bafd691111'],1.0,1.0
['b0005cf2d992d44334663fbaaafa7adf13940058'],1.0,1.0
['081a2a359e7d35df39f051e42d01a035bcf648a4'],0.0,1.0
['7e7338bce77498e0a72252afa56f198ee49776aa'],-1.0,1.0
['092b5c4f64841afb1adf1868136b8ce5fa66a21f'],-1.0,1.0
"['8c5e54efbb4ecf6da33c1b5f62e9916d8ac30290', '9d6e2c4c6da924e55294a95887130008a3fe25b7', 'afbaf1929a8ef83c6353f9aa172dab325e0ba12e', 'ebfe0c160614a714379bcbc130137be7a25cef63']",0.0,1.0
['98873b8e59640edbc670ad18aa6cf39882218944'],0.0,0.0
['54c5ac5c30fc217a31f352c571a7742c915bc148'],0.0,0.0
['9010b3a389c6ed5cd89ed6c8ce8fcf3d8b4c256a'],0.0,0.0
"['a9f2a6e9609b0f8da7cd5f9cbde22919d107f7f2', 'b2cfc50ec34b91df00799bdcccc18f4cea92fe34', 'c0c909f8ab3cb84b808b4d3474ece492c6409c34']",0.0,1.0
"['20b498a30c29be23154672f22319d823325a0c03', 'c4c4dc43bff5b8ec20c1c03519355047bf1cb3c3']",-1.0,
"['24f86db068bea7e98d392b89ae496c1f859a9d15', 'c14d9d79759c25d9f7a6adc212a2d805e3907f52']",-1.0,
"['071b9e741849c6b558fb2375eba6e68192310c68', '1f6028964275583709d024df2d0a3fa1588478f2', '3fab02cccf2dc00304910ad7779d3ecabfaadd1d', '588da386e8062ac94e0c64ed5535e70f28998690']",-1.0,
['58e00e071b640b9ef457da0923d2e176a0c90107'],0.0,1.0
['dd88a771f74599dbfad6540b850f31266102a4d1'],0.0,1.0
['e1a58ca68ca0e34b91c3a45e0cc4f4cdfd2ca9f9'],0.0,0.0
['9e78524f641ec2a2a2db5c3c65d9d05159264bcf'],0.0,0.0
['d7456807279b612903ac94e48f3239ae0b08a038'],0.0,0.0
['cdfb696716b8101f54998f17fed6667d70f435ae'],0.0,0.0
