predict_flag,true_flag,predicted_flag
['f13c0059115a3ba09d48d4fb63556e060d2f3e37'],1.0,0.0
['5d28b822eceffc70a035b2e05ac3db93a2d01a47'],0.0,0.0
['c5e9a87e74ac4381a1d230a03d39fd9ae58ea89f'],0.0,0.0
['4778f84de98d861a99607e3a18860dca8f9ead37'],1.0,
"['190253e44bf60c868e67b2390319b5d22a12b57c', '982d5ccef4eeddecf0c3663765b0db72e4ab022f']",1.0,0.0
['88def09817b95748bdce81b9135854ada0f0d697'],1.0,0.0
['4d36a8ab41935f7e029252219a875dcc8d545eba'],0.0,0.0
['511c7c858d6cd99b66b0cd7fc187dc73034bb3fa'],1.0,1.0
['ec30978857a74373d6e719ad3e837074441c098c'],1.0,0.0
"['593b65d96da511235a64f2b5a8bee5c972f79551', 'b66c5389e0a381658dbc2c6447e11ed0923d9e6c']",0.0,0.0
['0443b3516435346920087e695c7bd34219de2b7e'],0.0,0.0
['1f39c2fa417d47885745d92a6f7f41471b16225d'],0.0,0.0
['801f8970ff8c1cbf9d1a7468102808df3463de3e'],1.0,0.0
['81603dcaae8bb96995709dfad61e6ab63e9b16b1'],1.0,
"['644617a3e56f359b2c64e5d1ab3f9f1bdfd11d86', '8478f8a264dacb3aaf7f0f9633476d6b17ef0af2']",-1.0,0.0
['c5d4e9db67c1767b61494ea58bcca64a2a5a26f9'],-1.0,0.0
['6116220b047f8a6f49293b3cc8c5e8f7b93b88cb'],-1.0,0.0
['0e4037c49dd0fa69ed2436e13daa4318df782a7e'],-1.0,1.0
['60a221659a184ae3395b252d9ffaef3e06d02025'],-1.0,1.0
['228bfe26fb6ba1ddaed1535e3eecef29bcf29e96'],-1.0,1.0
['d7f3aa8a3e96d72cf2259ee504a036ee0344004a'],-1.0,0.0
['b06a65a8580070570836531af8148d3a98fe5994'],-1.0,0.0
"['65d115b946ec8847b3d5c6fb058de661d81a20f1', '9f939cb054b85fbf82ed13e11ec8a54af557a0c9']",0.0,0.0
"['170a5f36f1a516e45f2e6fefd426748d3a41345b', '46ad4299a88d83a45053e6db3207e750701606b5']",1.0,0.0
['b9f861fdba9ffb52a2c6955354dbe2daa6face14'],-1.0,0.0
['cc1730f48889b973be945609c3cd43b31ef701ab'],-1.0,
['5ab9678c2716534894616e62623213442ee9d904'],-1.0,0.0
['9c3e188175bda362c98b21a5bb820e331ac2563b'],-1.0,0.0
['5964b809fb9e06d6e98c171dabf3d9e9707ef5e3'],-1.0,0.0
['b2369c21723f6390bb8850b550dec2bca5c6fa5c'],-1.0,0.0
['0363017a97a8a200d02137c2b615d4452b3612dd'],-1.0,1.0
['09fc9ace1b0a0763b3ac8f679cd5dcb8d4ea76b2'],-1.0,0.0
['7f87a06817a1098fad7afd4e2bb675d913355288'],-1.0,0.0
['c20e66ccad18013262b8ab08f1832d9a60ef255b'],-1.0,0.0
['556c1ac1289b69719cb42361e74f81b40715addf'],-1.0,0.0
['9e84aa66af58b27f8c63e6d24e69320cc33c8c1b'],-1.0,
['cfdb0a066f33d5c378733796c5f61081e9b004c9'],1.0,0.0
['c4386f7abf5168ce842bb6511a19029b8c12703e'],0.0,0.0
['86b1254a1cad91697ff07d3939057c6c6da6dae4'],1.0,0.0
['9472b4bfd28e3ca0de3b627e35145327290846b5'],0.0,0.0
['3daf80b557a06adf34b9b0aadecaafcb58a3bd9b'],1.0,0.0
['e169b61ac3bde6144c71197d096d9bb7d7ebcecc'],0.0,1.0
['7ae3f07383453c857c6c13eb91b3b40424432f5b'],1.0,0.0
['045debf4447a62e1167ce6b209dcfe7aacae9ad1'],1.0,1.0
['a6234a4c7264f36b1f69e9044e1bb3b6fcdfbae7'],1.0,0.0
['27c7b1b2d0a32af76b4afe4b7f8fb8e62710651e'],1.0,
"['9a41ee79b20ddbfe9a3fb3f626a182547a62a0f8', 'ae5e4a04bfec8f2de54a5517efc43be7ff297704']",-1.0,0.0
['a8812a5c55ffb7fb1c89dedd431b81da2d29a342'],-1.0,0.0
['f4c1e9ecc7e9bee991d04e0e1107dc39f279539a'],1.0,1.0
['ab08a0a4449528024ed93927fe8b17b96198ead3'],-1.0,0.0
['c0966eee7c4daebb8a2f1b91b5d70cb72fa58f77'],0.0,0.0
['40ef07a286a1617d6697297cc678bbc9b79d64e2'],0.0,1.0
['d58f5a23ae1a0d257c8d55c96d27a193f6747a06'],-1.0,0.0
['150feb69d4aece64f4a8152659093ad1422632dd'],0.0,0.0
['b17b5ad85bddc2e80273f2f91f39987e28c28ed3'],0.0,0.0
['8928a5ede12d2093a479379a1cf73b9c10fc1e93'],0.0,0.0
