predict_flag,true_flag,predicted_flag
['eaa5a6ed86f9512a70082c88239182299405ffab'],0.0,0.0
['71c83310252c69ce4c430b36b8cca56b4c740004'],0.0,
['50803d758b2bed435508c65dcff3724b295af539'],0.0,0.0
"['2b77c1de7d8a6c8b5b5e86ae1594cf4768147652', 'a02561ec8dfcb836da9e78d97f4e2a4536b7ef2f']",0.0,0.0
['3cd6b29a76b7dab1b8efce179016b194b26cf8bd'],0.0,0.0
['6deec5d7bf16fda6cf62a4585157c60665212584'],1.0,0.0
['39520ab568f0de13689f1dfb5b063b080fee5120'],-1.0,0.0
['c2c7f23bbad9d8018d23cfd0dafa599974afd423'],1.0,0.0
['25f9aeb30a1f5b057744102ddc2e106789652f3b'],-1.0,0.0
['9c5a25dd480e71a3b0838c4c2f3f1cae47f41757'],-1.0,
['80c6cac0c8285821078f701293b494e454748f5c'],0.0,0.0
['5c48e368b751116b32d887f0d451068c327e7b83'],0.0,0.0
['1798df8e03b40c6a50a2957fd404797dccdf74c8'],0.0,0.0
['597ecf82e40488a640b7c62beb2ebd2e220021f0'],0.0,0.0
['00bbfc245970522330ee65159a45acbde3a83a65'],0.0,
['55269ae8d8d9a4d2a447d426d4b66ffefd7b687a'],1.0,0.0
['d29fb0b69117c1330251fc010ede6d2939603b4f'],1.0,0.0
"['b675fe88bc983d700ab16e02213d23b4e12c5fd0', 'c476d7e5fc2afb3eca1cbfa52261a69e90b5da19']",-1.0,0.0
['d81a41ceb176aaf8726eddbb0b08dbef780e6dc7'],0.0,0.0
"['1e5e763ead9bd8faebd743ba4f28436515c2648c', 'eda63a0095cfd5c15b8e1777db6ae630660a7fbd']",0.0,0.0
['bf4b56a9490821982637df6e804ddc3b5675d1c1'],-1.0,0.0
"['1b619e85977b8b916aabe8e62c9aae48dc8bc0aa', 'f64d4469fc2298701200bd2040713b7c6a79fd2a']",-1.0,0.0
['504d7538dac4ac5778e0ba96148bf009678e126c'],-1.0,0.0
['71bf481f6adb0d6c36bc3ea8afb7defc10591767'],0.0,0.0
['1e0ce545e2f8f9d18d18a93bf7e03beeca1709df'],-1.0,0.0
['7785dfd4dc4d19d527d54c74c43a764ffba5dd64'],0.0,0.0
['a625f882cf5fe66d10e6b354f418ff560291d48b'],0.0,0.0
['9fa746dbeef97172610827b0564c0191160edce2'],0.0,0.0
"['0bf0f2cc49f775b52d6160ef41cb42a8f2de24f5', '0f33b86ec11bed16e3e69181e5e067f80535d8b3']",0.0,0.0
['eebe62ce45910dae91d3632144781ceecf675ed0'],-1.0,
['77bc2cc250a05c56f03dbc8d4e19c15e1d9e007e'],0.0,0.0
['f66b563ccd63330749f0dfddbc02e39913b72311'],-1.0,0.0
['336b1a0c1f17dcfe0818f424c3f53fba591e5a1d'],1.0,0.0
['f2d0b2ce8370b43f739a75f3ff166c9d90d42110'],-1.0,0.0
['8d85a09ad996c6e8d61bef4b2b5de51032bf7449'],0.0,0.0
['e26156ee77abfdbbad8d1dafd0b2e5f190b4ea1b'],-1.0,0.0
['1170c3031c51447b17d8afc03507485d5316c5b5'],-1.0,0.0
['9f6d24a42fcf15124805184c073647943193f2b8'],-1.0,0.0
['00a7335eddb96dbcbc8dff38a75e06447f2f97fc'],1.0,
['41fdffa71cd6775c72ce9a380cd8c10694fbf55c'],0.0,
['4a29be7b502f1e3223f150d3f4408184fa6ce6e6'],0.0,0.0
['423f40811df856171067899ecad8030f640a0ba0'],-1.0,
['921944c9564b425200215bc4b6e210ae790fc633'],0.0,0.0
